id,name,now_cost,position,team,news,corners_and_indirect_freekicks_order,yellow_cards,ict_index_rank_type,red_cards,expected_assists,influence_rank,now_cost_rank,selected_rank,form_rank_type,creativity_rank,expected_goals_per_90,expected_assists_per_90,threat_rank,bps,ict_index,now_cost_rank_type,web_name,influence_rank_type,saves,clean_sheets_per_90,influence,creativity,goals_conceded_per_90,ep_next,saves_per_90,direct_freekicks_order,minutes,selected_rank_type,expected_goals_conceded,news_added,value_season,expected_goals,bonus,chance_of_playing_next_round,own_goals,threat,goals_scored,expected_goals_conceded_per_90,total_points,goals_conceded,expected_goal_involvements,points_per_game_rank,assists,threat_rank_type,starts,points_per_game_rank_type,status,clean_sheets,expected_goal_involvements_per_90,penalties_missed,penalties_saved,selected_by_percent,starts_per_90,points_per_game,creativity_rank_type,ict_index_rank,penalties_order,form_rank
1,Folarin Balogun,45,FWD,Arsenal,Foot injury - 75% chance of playing,,0,48,0,0.00,511,434,193,7,511,0.0,0.0,502,0,0.0,67,Balogun,46,0,0.0,0.0,0.0,0.0,1.1,0.0,,0,37,0.00,2023-08-07T15:30:05.135490Z,0.0,0.00,0,75.0,0,0.0,0,0.0,0,0,0.00,518,0,48,0,48,d,0,0.0,0,0,0.8,0.0,0.0,46,514,,240
2,Cédric Alves Soares,40,DEF,Arsenal,,,0,123,0,0.19,333,542,260,3,287,0.02,0.08,329,56,11.9,153,Cédric,127,0,0.0,56.4,51.4,1.21,1.5,0.0,,223,90,2.83,,2.5,0.06,0,,0,10.0,0,1.14,10,3,0.25,349,0,126,2,125,a,0,0.1,0,0,0.4,0.81,1.2,102,335,,9
3,Mohamed Elneny,45,MID,Arsenal,,,0,174,0,0.04,379,360,374,9,347,0.0,0.03,475,27,1.1,205,M.Elneny,175,0,0.0,4.6,5.4,1.62,1.5,0.0,,111,120,1.29,,1.3,0.00,0,,0,0.0,0,1.05,6,2,0.04,351,0,187,1,157,a,0,0.03,0,0,0.2,0.81,1.2,170,378,,166
4,Fábio Ferreira Vieira,55,MID,Arsenal,,,0,123,0,1.39,293,137,415,220,163,0.15,0.25,199,134,41.5,89,Fábio Vieira,128,0,0.36,116.0,180.6,0.9,2.6,0.0,,500,140,5.28,,7.3,0.86,2,,0,123.0,1,0.95,40,5,2.25,291,2,113,3,125,a,2,0.4,0,0,0.1,0.54,1.8,104,261,,550
5,Gabriel dos Santos Magalhães,50,DEF,Arsenal,,,5,9,0,0.66,31,255,7,199,196,0.13,0.02,80,723,127.7,31,Gabriel,6,0,0.37,743.8,131.4,1.14,2.8,0.0,,3409,3,41.84,,29.2,5.04,15,,0,401.0,3,1.1,146,43,5.70,67,0,3,38,14,a,14,0.15,0,0,31.7,1.0,3.8,54,77,,446
6,Kai Havertz,75,MID,Arsenal,,,5,20,0,2.75,111,24,71,263,49,0.41,0.1,15,301,202.5,14,Havertz,52,0,0.32,476.4,536.6,1.09,3.1,0.0,,2565,22,38.25,,13.6,11.58,13,,0,1014.0,7,1.34,102,31,14.33,160,1,6,30,66,a,9,0.51,0,0,5.2,1.05,2.9,41,27,,622
7,Rob Holding,45,DEF,Arsenal,,,0,114,0,0.15,270,362,362,103,340,0.05,0.02,274,120,21.6,74,Holding,107,0,0.0,152.0,10.3,2.08,2.5,0.0,,562,135,11.14,,4.7,0.32,0,,0,54.0,1,1.78,21,13,0.47,315,0,101,6,117,a,0,0.07,0,0,0.2,0.96,1.5,126,310,,168
8,Gabriel Fernando de Jesus,80,FWD,Arsenal,Knee injury - 25% chance of playing,,6,5,0,2.91,55,15,81,79,64,0.62,0.13,5,401,241.9,6,G.Jesus,6,0,0.39,660.6,427.8,1.0,0.8,0.0,,2064,15,23.15,2023-08-02T21:00:03.961365Z,15.6,14.24,17,25.0,0,1331.0,11,1.01,125,23,17.15,14,7,3,24,5,d,9,0.75,0,0,4.3,1.05,4.8,2,17,2.0,631
9,Jorge Luiz Frello Filho,55,MID,Arsenal,Muscle injury - 75% chance of playing,,4,93,0,0.96,148,85,360,184,122,0.08,0.04,225,379,76.1,53,Jorginho,65,0,0.38,400.4,261.4,0.97,1.9,0.0,,2127,116,24.41,2023-08-07T15:30:05.168632Z,14.4,1.89,5,75.0,0,98.0,2,1.03,79,23,2.85,201,2,122,24,79,d,9,0.12,0,0,0.2,1.02,2.5,85,166,,498
10,Jakub Kiwior,45,DEF,Arsenal,,,0,121,0,0.01,300,471,421,165,325,0.02,0.0,318,111,13.9,136,Kiwior,116,0,0.42,98.6,17.9,1.27,2.5,0.0,,425,158,6.46,,5.8,0.10,1,,0,21.0,1,1.37,26,6,0.11,73,0,119,5,17,a,2,0.02,0,0,0.1,1.06,3.7,121,329,,277
